,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,Median_Income,mean_age,total_open_hours,HappyHour,OutdoorSeating,RestaurantsPriceRange2,BikeParking,HasTV,DogsAllowed,full_bar,beer_wine,standardized_Median_Income,standardized_review_count
0,ejrf1eSViGaGlyoxhAqm1Q,Black Acre Garden,"5529 Bonna Ave, Ste 9",Indianapolis,IN,46219,39.7669739124,-86.0722331339,4.5,29,1,"Beer Gardens, Nightlife","{'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '12:0-20:0', 'Sunday': '12:0-20:0'}",300000.0,42,32.0,True,True,2,True,False,False,True,True,3.7718433201532386,-0.7901250318904486
1,0lf3Nqamc_9kKpDV4ajy1g,Black Acre Brewing,5632 E Washington St,Indianapolis,IN,46219,39.7708278746,-86.0708856583,4.5,294,1,"Food, Bars, Breweries, Nightlife, Beer, Wine & Spirits","{'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-20:0'}",300000.0,42,44.0,False,True,2,True,False,False,False,True,3.7718433201532386,0.841328497469058
2,3hrEWKJxJUwEBmzw8oUYHw,Brugge Brasserie,1011 E Westfield Blvd,Indianapolis,IN,46220,39.8705204,-86.1412303,4.0,587,0,"Bars, Pubs, Nightlife, Desserts, French, Belgian, Restaurants, Food, Breweries","{'Monday': '0:0-0:0', 'Wednesday': '16:0-20:0', 'Thursday': '16:0-20:0', 'Friday': '16:0-20:0', 'Saturday': '16:0-20:0', 'Sunday': '16:0-20:0'}",147106.0,39,20.0,False,True,2,True,True,True,False,True,1.3300033156988549,2.645162022383531
3,hOVphvLElFBXKDArFRgUvQ,Liter House,5301 Winthrop Ave,Indianapolis,IN,46220,39.8493601,-86.1413094,4.0,200,1,"Bars, Restaurants, American (New), Caterers, Brewpubs, Food, Beer Gardens, Breweries, Nightlife, Event Planning & Services, German","{'Monday': '0:0-0:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '11:0-18:0', 'Sunday': '11:0-18:0'}",147106.0,39,42.0,True,True,2,True,True,False,True,True,1.3300033156988549,0.26262422667738394
4,Lx7mtvmJbkMT9Q9W2YwyBA,Barley Island Restaurant and Brewhouse,701 Broad Ripple Ave,Indianapolis,IN,46220,39.8695854,-86.1458504,3.0,10,0,"Food, Breweries, Restaurants, American (Traditional)","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '12:0-0:0'}",147106.0,39,92.0,False,True,2,False,True,False,False,True,1.3300033156988549,-0.9070971717313189
5,oJ4ik-4PZe6gexxW-tSmsw,Broad Ripple Brewpub,842 E 65th St,Indianapolis,IN,46220,39.8735797809,-86.142783297,3.5,378,1,"Nightlife, Food, Pizza, Brewpubs, Restaurants, Fish & Chips, American (New), Bars, Pubs, Breweries, Vegetarian","{'Monday': '0:0-0:0', 'Tuesday': '11:0-16:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",147106.0,39,52.0,False,True,2,True,True,True,True,True,1.3300033156988549,1.3584684841339583
6,ekYEnQ5xKIGjdWIXwE98zg,Bent Rail Brewery,5301 Winthrop Ave,Indianapolis,IN,46220,39.849343,-86.141152,3.5,104,0,"American (New), Beer Bar, Beer Gardens, Food, Breweries, Nightlife, Bars, Restaurants, Sandwiches","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '10:0-20:0'}",147106.0,39,74.0,False,True,2,True,False,False,True,True,1.3300033156988549,-0.3283929009396448
7,WQ1oZ11HbYL7K7kj62ttAw,Half Liter Beer & BBQ Hall,"5301 Winthrop Ave, Ste 2",Indianapolis,IN,46220,39.8493601,-86.1413094,4.5,381,1,"Breweries, Bars, Nightlife, Barbeque, Restaurants, Food","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-21:0'}",147106.0,39,70.0,True,True,2,True,True,True,True,True,1.3300033156988549,1.3769377693719904
8,7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room,5133 E 65th St,Indianapolis,IN,46220,39.8755319,-86.0828565,4.5,139,1,"Food, Beer, Wine & Spirits, Breweries","{'Tuesday': '15:0-21:0', 'Wednesday': '15:0-21:0', 'Thursday': '15:0-21:0', 'Friday': '13:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-19:0'}",147106.0,39,42.0,False,False,2,True,False,True,False,True,1.3300033156988549,-0.1129179064959364
9,cM3C8AT3IhOIM4ccBofuSg,Blind Owl Brewery,5014 E 62nd St,Indianapolis,IN,46220,39.8701062594,-86.084013725,3.5,455,1,"Beer Gardens, Restaurants, Food, Breweries, Beer, Wine & Spirits, Gastropubs, Nightlife","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:30'}",147106.0,39,78.5,False,False,2,True,False,False,False,True,1.3300033156988549,1.8325134719101166
